wallet,txn_count,unique_contracts,total_value,avg_gas_spent,first_tx_time,last_tx_time,active_days,frequency_per_day
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,2,2,57271905000000000,160353.5,2020-11-19 06:59:39+00:00,2020-11-19 08:23:33+00:00,1,2.0
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,1,1,6455035000000000,164151.0,2020-12-11 09:42:02+00:00,2020-12-11 09:42:02+00:00,1,1.0
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,2,1,0300000000000000000,154125.5,2021-05-05 10:55:34+00:00,2021-11-16 06:19:08+00:00,195,0.010256410256410256
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,1,1,0,177613.0,2020-11-20 20:51:29+00:00,2020-11-20 20:51:29+00:00,1,1.0
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,2,1,00,194316.0,2020-12-14 06:47:09+00:00,2020-12-14 06:48:14+00:00,1,2.0
0xebb8629e8a3ec86cf90cb7600264415640834483,2,1,00,172200.0,2021-11-22 19:32:31+00:00,2022-01-21 14:23:03+00:00,60,0.03333333333333333
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,1,1,1258906000000000,160493.0,2021-07-18 17:46:12+00:00,2021-07-18 17:46:12+00:00,1,1.0
0xf54f36bca969800fd7d63a68029561309938c09b,1,1,0,174525.0,2020-12-14 07:49:21+00:00,2020-12-14 07:49:21+00:00,1,1.0
0xf67e8e5805835465f7eba988259db882ab726800,1,1,0,177586.0,2020-12-17 23:22:54+00:00,2020-12-17 23:22:54+00:00,1,1.0
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,1,1,0,174552.0,2020-10-31 19:42:17+00:00,2020-10-31 19:42:17+00:00,1,1.0
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,1,1,0,202784.0,2020-10-21 18:51:46+00:00,2020-10-21 18:51:46+00:00,1,1.0
